;MATRÍCULA;end;LAT;LNG
3865;234745;AVENIDA JOAQUIM TEOTONIO SEGURADO, S/N - PLANO DIRETOR PALMAS-TO;-10.1958674;-48.3342524
3866;234746;AVENIDA CHEDID JAFET, 222 - VILA OLIMPIA SAO PAULO-SP;-23.5927603;-46.6901899
3867;234748;AVENIDA DORGIVAL PINHEIRO DE SOUSA, S/N - CENTRO IMPERATRIZ-MA;-5.5258707;-47.4906257
3868;234750;Avenida Lauro Sodré, 445 - Botafogo RIO DE JANEIRO-RJ;-22.957067;-43.1766477
3869;234754;AVENIDA CHEDID JAFET, 222 - VILA OLIMPIA SAO PAULO-SP;-23.5927603;-46.6901899
3870;234756;AVENIDA CHEDID JAFET, 222 - VILA OLIMPIA SAO PAULO-SP;-23.5927603;-46.6901899
3871;234757;AVENIDA CHEDID JAFET, 222 - VILA OLIMPIA SAO PAULO-SP;-23.5927603;-46.6901899
3872;234758;AVENIDA LUCAS NOGUEIRA GARCEZ, 400 - CENTRO SAO BERNARDO DO CAMPO-SP;-23.6929927;-46.5537152
3873;234759;AVENIDA DOS LIBANESES, S/N - TIRIRICAL SAO LUIS-MA;-2.5836385;-44.2362142
3874;234760;AVENIDA LAURO SODRÉ, S/N - AEROPORTO PORTO VELHO-RO;-8.742935;-63.902353
3875;234761;PRACA BRIGADEIRO EDUARDO GOMES, S/N - MARCO SANTAREM-PA;-1.4238314;-48.460839
3876;234762;AVENIDA AMERICAS, DAS - Village Mall, 3900 - BARRA DA TIJUCA RIO DE JANEIRO-RJ;-22.9984349;-43.3512508
3877;234763;AVENIDA AMERICAS, DAS - Village Mall, 3900 - BARRA DA TIJUCA RIO DE JANEIRO-RJ;-22.9984349;-43.3512508
3878;234767;AVENIDA ALBERT EINSTEIN, 627/701 - JARDIM LEONOR SAO PAULO-SP;-23.6002008;-46.7153048
3879;234768;AVENIDA MARECHAL CASTELO BRANCO, 911 - PORENQUANTO TERESINA-PI;-5.0772226;-42.8013641
3880;234769;Rua Alexandre Dumas, 2200 - Chacara Santo Antonio SAO PAULO-SP;-23.6276441;-46.7107246
3881;234770;AVENIDA MARECHAL CASTELO BRANCO, 911 - PORENQUANTO TERESINA-PI;-5.0772226;-42.8013641
3882;234771;AVENIDA ALBERT EINSTEIN, 627/701 - JARDIM LEONOR SAO PAULO-SP;-23.6002008;-46.7153048
3883;234772;ESTRADA DOS TRÊS RIOS, 542 - FREGUESIA RIO DE JANEIRO-RJ;-22.9381386;-43.3385678
3884;234773;RUA NORMA PIERUCCINI GIANNOTTI, 327 - BARRA FUNDA SAO PAULO-SP;-23.5233334;-46.6536948
3885;234774;RUA BARAO DE LADARIO, 670 - BRAS SAO PAULO-SP;-23.5368961;-46.6185066
3886;234776;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
3887;234780;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
3888;234781;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
